Store name,Address,States,Region,City,Zip_code,LAT,LNG,Instore,Pickup_Curbside,Local_Delivery,Total_Population_2017,Total_Population_2018,Total_Population_2019,Zipcode_Pop_2013,Zipcode_Pop_2014,Zipcode_Pop_2015,Current_Zipcode_Pop,Pop_density,Pop_Growth_per year_from_2010_to_2020,Predicted_Growth_per_year_from_2020_to_2025,Total_Pop growth_2017,Total_ Pop_growth_2018,Total_ Pop_growth_2019,House_Affordability_Index,Male,Female,Median_Age,Male_median_Age,Female_Median_Age,median_Household_income,Average_Home_Value,Median_Home_Value,White,Blacks_African_american ,American_indian,Asian ,Native_Hawaiian,other_race,two_or_more,Competition,HOH_Owner_15-24,HOH_Owner_25-34,HOH_Owner_35-44,HOH_Owner_45-54,HOH_Owner_55-64,HOH_Owner_65-74,HOH_Owner_75-84,HOH_Owner_85_Plus,HOH_Owner_Total,HOH_Renter_15-24,HOH_Renter_25-34,HOH_Renter_35-44,HOH_Renter_45-54,HOH_Renter_55-64,HOH_Renter_65-74,HOH_Renter_75-84,HOH_Renter_85_Plus,HOH_Renter_Total,Family_Households,Singles_Guardian,Singles,Singles_with_Roomates,Houses_built_2010_0r_later,Studio_Apartment,1_Bedroom,2_Bedroom,3+_Bedroom,Housing_units,Occupied_Housing_Units,Wealth_Index,h_income_<$25k,h_income_$25k,h_income_$45k,h_income_$60k,h_income_$100k,h_income_$150k,h_income_>$200k,Sales_2017,Sales_2018,Sales_2019,Sales_2020
Pennyslvania willow grove,2620 Moreland Rd Willow Grove PA ,PA,Mid-Atlantic,York,19090,39.94,-76.81,1,1,1,445484,447847,449058,18190,18400,18330,18832,3505,0.42%,0.44%,0.004113336,0.005427031,0.002781267,198,9086,9746,40,39,42,66857,203161,252200,14195,3049,37,899,5,173,474,19,26,545,927,1230,1044,647,479,180,5078,134,523,386,411,301,199,233,163,2350,3714,1209,2047,458,21,85,874,875,515,7756,7428,85,1234,1784,1227,2760,1430,423,204,,,5125735.44,7054021.152
Rhode Island Warwick - North,650 Bald hill Rd Warwick RI,RI,New England,Warwick,2886,41.71,-71.46,1,1,1,163543,164053,164292,26170,26170,26080,29269,1961,-0.08%,0.06%,-0.001011865,0.003071734,0.001439499,141,13896,15373,45,42,47,61682,289921,214300,27152,462,82,766,9,292,506,8,59,815,1396,1916,1844,1193,931,380,8534,312,797,578,692,582,536,542,356,4395,5655,1771,4572,931,12,306,1977,1304,535,13682,12929,103,2609,1919,1691,3214,2150,702,515,,7468780.608,7578992.88,7323720.451
South Carolina Charleston ,6185 Rivers Ave North Charleston SC,SC,South,North Charleston,29406,32.93,-80.02,1,1,1,402008,406222,411406,24480,24500,24870,29314,2017,2.01%,1.12%,0.014612184,0.012007751,0.014771756,165,14753,14561,29,29,29,35656,148735,117100,12469,11505,207,627,57,3640,809,11,110,848,744,869,791,586,432,132,4512,1295,2360,1246,1126,665,240,133,73,7138,3440,3096,3746,1368,10,68,1470,3340,2121,13211,11650,38,4026,2957,1508,2207,522,113,18,10861802.47,11417133.2,11501309.91,11082197.97
South Carolina Greenville,35 Park Woodruff Dr Greenville SC ,SC,South,Greenville,29607,34.84,-82.38,1,1,1,506831,514621,523542,33510,34250,34640,34487,1197,2.68%,2.10%,0.01702905,0.017207978,0.019706338,179,16126,18361,35,34,36,48809,257739,167900,21577,10110,83,1106,28,892,691,29,79,1015,1493,1582,1511,1063,680,287,7710,1012,2056,1315,1100,766,378,267,164,7058,5743,3007,4926,1092,168,35,2038,3390,1759,16564,14768,84,3861,3122,1847,3143,1792,557,666,12086290.23,11769381.94,12235158.03,11082044.15
South Dakota Rapid City ,2200 N Maple Ave Rapid City SD,SD,Midwest,Rapid City,57701,44.1,-103.2,1,1,0,110503,111950,113775,36660,36280,36640,43462,614,1.16%,1.06%,0.013749099,0.014292346,0.018025938,140,21717,21745,33,31,35,39611,194551,130100,32624,507,7336,525,32,342,2096,7,234,1403,1457,2158,1984,1224,859,261,9580,1345,2138,1269,1351,901,501,453,400,8358,6521,3759,6136,1522,179,438,2355,3265,2177,18977,17938,52,5326,4680,2364,3339,1202,311,304,4859955.186,4745233.325,4972202.539,4010838.955
South Dakota Sioux Falls ,1601 W 41st St Sioux Falls SD,SD,Midwest,Sioux Falls,57105,43.52,-96.73,1,1,0,189538,190992,193134,20390,20340,20350,22268,3192,0.85%,0.89%,0.019240387,0.008555206,0.012603336,176,10736,11532,38,34,41,52255,223800,140600,20537,458,529,184,21,252,467,16,127,901,853,1290,1386,887,736,306,6486,450,761,462,459,362,169,188,111,2962,4041,1347,3194,866,0,64,600,1493,906,10052,9448,87,1616,2460,1149,2301,865,309,426,,,,8261033.933
Tennessee Chattanooga,482 McBrien Rd East Ridge TN,TN,South,East Ridge,37412,35,-85.22,1,1,1,361032,364293,367804,20480,20420,19680,20951,2398,0.68%,0.67%,0.009649659,0.009670417,0.010411786,189,9911,11040,40,38,42,38998,165678,117000,17554,1986,105,372,39,472,423,16,100,560,784,1012,1088,860,747,261,5412,408,961,691,721,533,308,222,177,4021,3606,1752,3438,637,26,154,925,2027,973,10366,9433,46,2658,2597,1316,1994,535,82,41,8201875.219,8844275.995,9036876.211,7916875.373
Tennessee Clarksville ,2780 Wilma Rudolph Blvd Clarksville ,TN,South,Clarksville,37040,36.5,-87.4,1,1,0,199771,205312,208993,43770,44900,45380,44924,486,2.01%,1.84%,0.030879134,0.031999492,0.021257919,175,21786,23138,30,29,30,44843,202572,140700,30756,10357,240,732,108,911,1820,12,308,2066,2101,2115,1597,908,626,197,9918,1373,2091,1260,963,633,278,129,50,6777,7623,3682,4143,1247,316,81,1301,2395,3246,18449,16695,54,4660,3601,2413,3930,1419,279,163,7090017.494,7954755.653,7798052.678,7232086.238
Tennessee Farragut ,11501 Parkside Dr Farragut TN ,TN,South,Farragut,37934,35.87,-84.18,1,1,1,461565,466258,470313,24810,24700,25240,24107,1379,0.93%,0.98%,0.012648462,0.010839889,0.009366237,181,11764,12343,44,43,45,92838,383269,289400,21765,503,51,1286,6,136,360,16,25,476,1359,2103,2005,1193,583,153,7897,29,189,257,233,139,84,95,110,1136,6291,821,1692,229,67,100,94,331,588,9410,9033,209,963,1029,816,2009,2005,1018,1025,,6278643.72,11418952.12,9198768.629
Tennessee Franklin,209 S Royal Oaks Blvd Franklin TN,TN,South,Franklin,37064,35.9,-87,1,1,1,226048,231978,238412,50900,51990,53500,48118,269,2.93%,2.72%,0.038801366,0.032203233,0.034940237,149,23399,24719,39,38,40,73043,500061,299700,41384,3571,124,677,7,1622,733,15,77,1189,3037,3596,3049,1664,840,266,13718,275,985,841,713,517,276,234,206,4047,10943,2350,3823,649,430,121,832,1802,1688,18832,17765,182,3189,2956,1957,3546,3687,1728,1811,11448789.24,11807763.38,12067619.43,9504832.666
Tennessee Johnson City,3019 Peoples St Johnson City,TN,South,Johnson City,37604,36.3,-82.38,1,1,0,127603,128661,129375,26850,27010,27070,34245,1014,0.64%,0.69%,0.002885301,0.008574856,0.005786812,146,16957,17288,38,37,40,39298,221325,146300,30064,2091,124,684,17,622,643,16,168,778,1235,1712,1867,1465,1092,335,8652,1648,1636,953,923,735,406,236,174,6711,6019,2142,5629,1573,135,157,1806,3244,1272,17350,15363,72,5049,3332,2059,2334,1481,439,559,,,4919406.379,6475667.098
Tennessee Memphis,5280 Summer Ave Memphis TN,TN,South,Memphis,38122,35.16,-89.92,1,1,1,935251,936365,937166,24170,23430,23650,25270,3351,0.01%,-0.04%,-0.000829342,0.001199853,0.000862731,218,12827,12443,32,31,34,34735,132323,73200,14505,5816,99,673,16,3478,683,9,108,725,855,1032,1096,638,589,302,5345,502,1299,982,839,506,172,90,56,4446,3108,2679,3123,881,6,27,333,2392,1489,11315,9791,38,3014,2751,1361,1556,508,73,33,11587119.12,12057555.61,11986936.11,10893936.57
